snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,fifa world cup games,2026-06-09T21:40:00Z,2026-06-09T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,world cup,2026-06-09T21:10:00Z,2026-06-09T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,world cup fixtures,2026-06-09T21:10:00Z,2026-06-09T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,anthony albanese,2026-06-09T21:10:00Z,2026-06-09T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,disclosure day,2026-06-09T20:40:00Z,2026-06-09T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,lachie neale,2026-06-09T20:40:00Z,2026-06-09T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,claude fable 5,2026-06-09T20:30:00Z,2026-06-09T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,weather brisbane,2026-06-09T20:10:00Z,2026-06-09T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,england vs ukraine,2026-06-09T19:30:00Z,2026-06-09T19:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-09,2026-06-09T22:06:49Z,google_trends,google,karmelo anthony,2026-06-09T19:20:00Z,2026-06-09T19:20:00Z,https://trends.google.com/trending/rss?geo=AU,
